Date,Open,High,Low,Close,Adj Close,Volume
2017-05-08,76.500000,76.519997,76.070000,76.120003,76.120003,6512200
2017-05-09,76.440002,77.050003,76.330002,76.720001,76.720001,8255300
2017-05-10,76.330002,76.779999,76.190002,76.699997,76.699997,7511900
2017-05-11,76.349998,76.720001,75.930000,76.129997,76.129997,8349400
2017-05-12,75.949997,76.250000,75.370003,75.709999,75.709999,5892900
2017-05-15,75.800003,76.470001,75.800003,76.290001,76.290001,8843900
2017-05-16,76.190002,76.269997,75.080002,75.110001,75.110001,8371800
2017-05-17,75.110001,75.730003,74.959999,75.120003,75.120003,10971000
2017-05-18,76.889999,77.660004,76.129997,77.540001,77.540001,19166800
2017-05-19,77.970001,79.440002,77.769997,78.769997,78.769997,18581700
2017-05-22,78.650002,79.000000,78.300003,78.550003,78.550003,8897600
2017-05-23,78.580002,78.970001,78.440002,78.489998,78.489998,7584900
2017-05-24,78.559998,78.610001,78.139999,78.150002,78.150002,7427000
2017-05-25,78.360001,78.849998,78.150002,78.309998,78.309998,6135000
2017-05-26,78.370003,78.540001,77.790001,78.129997,78.129997,6125800
2017-05-30,78.000000,78.400002,77.930000,78.150002,78.150002,5410400
2017-05-31,78.349998,78.919998,78.220001,78.599998,78.599998,8201700
2017-06-01,78.639999,79.809998,78.599998,79.809998,79.809998,8153100
2017-06-02,79.800003,79.930000,79.220001,79.620003,79.620003,7996500
2017-06-05,79.599998,80.470001,79.480003,80.260002,80.260002,10145700
2017-06-06,79.430000,79.559998,78.260002,78.930000,78.930000,11525900
2017-06-07,79.080002,79.500000,78.730003,79.150002,79.150002,8511200
